time,disMax,disMin,disAvg,disInter,disStd,speedAvg,vMax,vMaxPos,vMin,vAvg,vInter,vStd,vEqualPer,vPre5,vPre5DivVmax,vPre5DivVmin,vPost10,vPost10DivVmax,vPost10DivVmin,vdMax,vdMin,vdInter,vdAvg,vdStd,vdEqualPer,yMax,yMin,yAvg,yStd,yInter,yTotalDis,yv,yTotalDisAvg,yDisMax,yDisEqualPer,yvAvg,yvStd
1.46,20.0,0.0,5.21,20.0,6.31,0.17,2.0,0.18,0.0,0.5,2.0,0.63,0.07,0.29,1.71,0.29,0.03,1.97,0.03,0.46,0.0,0.46,0.13,0.12,0.02,3.0,0.0,1.15,1.1,3.0,5.0,0.0,0.11,1.0,0.89,0.01,0.02
3.0,5.0,0.0,1.56,5.0,1.0,0.01,0.33,0.24,0.0,0.08,0.33,0.08,0.1,0.23,0.1,0.23,0.0,0.33,0.0,0.2,0.0,0.2,0.03,0.04,0.08,4.0,-12.0,-3.66,5.06,16.0,20.0,0.0,0.14,1.0,0.86,0.01,0.02
1.23,4.0,0.0,1.17,4.0,0.57,0.13,2.0,0.17,0.0,0.48,2.0,0.43,0.14,0.42,1.58,0.42,0.02,1.98,0.02,1.67,0.0,1.67,0.37,0.39,0.16,0.0,-34.0,-18.51,8.81,34.0,34.0,0.03,0.25,1.0,0.75,0.12,0.25
1.26,16.0,0.0,3.69,16.0,3.37,0.13,0.89,0.22,0.0,0.22,0.89,0.2,0.05,0.16,0.73,0.16,0.01,0.88,0.01,0.49,0.0,0.49,0.09,0.11,0.07,6.0,0.0,3.54,2.04,6.0,18.0,0.01,0.4,3.0,0.71,0.02,0.04
0.9,18.0,1.0,2.81,17.0,2.9,0.14,9.0,0.16,0.01,0.67,8.99,1.54,0.02,0.23,8.77,0.22,0.03,8.97,0.02,8.93,0.0,8.93,1.02,2.03,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.46,7.0,0.0,1.19,7.0,0.76,0.2,3.0,0.16,0.0,0.38,3.0,0.38,0.14,0.31,2.69,0.31,0.13,2.87,0.13,2.86,0.0,2.86,0.29,0.44,0.13,7.0,0.0,3.15,1.81,7.0,7.0,0.02,0.09,1.0,0.91,0.02,0.07
1.78,5.0,0.0,1.81,5.0,1.43,0.05,0.63,0.18,0.0,0.21,0.63,0.19,0.12,0.18,0.44,0.18,0.0,0.62,0.0,0.38,0.0,0.38,0.08,0.09,0.12,0.0,-4.0,-1.8,1.17,4.0,7.0,0.0,0.13,1.0,0.87,0.02,0.05
1.23,9.0,0.0,2.25,9.0,1.81,0.1,1.13,0.7,0.0,0.27,1.13,0.24,0.16,0.06,1.06,0.06,0.06,1.06,0.06,0.5,0.0,0.5,0.14,0.12,0.16,16.0,0.0,5.72,5.5,16.0,16.0,0.01,0.28,3.0,0.75,0.03,0.06
1.21,7.0,0.0,2.78,7.0,1.49,0.17,2.0,0.3,0.0,0.44,2.0,0.4,0.01,0.05,1.95,0.05,0.03,1.97,0.03,1.93,0.0,1.93,0.4,0.42,0.07,0.0,-9.0,-6.58,2.76,9.0,12.0,0.01,0.16,2.0,0.86,0.04,0.14
3.0,14.0,0.0,1.14,14.0,2.12,0.04,0.82,0.19,0.0,0.09,0.82,0.14,0.35,0.04,0.79,0.04,0.0,0.82,0.0,0.5,0.0,0.5,0.05,0.08,0.27,0.0,-6.0,-2.62,2.2,6.0,6.0,0.0,0.03,1.0,0.97,0.0,0.02
3.0,9.0,0.0,2.42,9.0,1.93,0.03,6.0,0.72,0.0,0.36,6.0,0.79,0.14,0.56,5.44,0.56,0.0,6.0,0.0,5.98,0.0,5.98,0.36,1.06,0.17,14.0,0.0,10.5,4.09,14.0,14.0,0.0,0.21,2.0,0.81,0.03,0.08
1.96,8.0,1.0,2.93,7.0,1.96,0.07,1.33,0.11,0.0,0.35,1.33,0.33,0.05,0.52,0.82,0.51,0.01,1.33,0.01,0.89,0.0,0.89,0.16,0.2,0.05,0.0,-1.0,-0.09,0.28,1.0,1.0,0.0,0.02,1.0,0.98,0.0,0.0
2.7,3.0,0.0,1.23,3.0,0.53,0.03,1.0,0.07,0.0,0.15,1.0,0.23,0.04,0.16,0.84,0.16,0.01,0.99,0.01,0.95,0.0,0.95,0.16,0.26,0.06,3.0,0.0,1.68,1.03,3.0,3.0,0.0,0.04,1.0,0.96,0.0,0.02
1.58,20.0,0.0,4.26,20.0,3.66,0.13,1.05,0.06,0.0,0.26,1.05,0.22,0.04,0.63,0.42,0.63,0.01,1.04,0.01,0.77,0.0,0.77,0.1,0.12,0.0,0.0,-6.0,-4.02,2.3,6.0,6.0,0.0,0.13,2.0,0.91,0.01,0.03
3.0,6.0,0.0,1.72,6.0,1.4,0.05,0.38,0.02,0.0,0.09,0.38,0.08,0.08,0.22,0.16,0.22,0.0,0.38,0.0,0.21,0.0,0.21,0.05,0.04,0.16,0.0,-9.0,-6.96,2.03,9.0,13.0,0.0,0.12,1.0,0.88,0.01,0.02
2.34,6.0,0.0,1.82,6.0,1.08,0.07,0.83,0.4,0.0,0.19,0.83,0.17,0.13,0.15,0.68,0.15,0.01,0.82,0.01,0.5,0.0,0.5,0.08,0.1,0.11,6.0,0.0,3.04,1.45,6.0,6.0,0.0,0.06,1.0,0.94,0.01,0.03
0.88,2.0,0.0,1.09,2.0,0.32,0.21,2.0,0.16,0.0,0.57,2.0,0.43,0.2,0.27,1.73,0.27,0.04,1.96,0.04,1.67,0.0,1.67,0.33,0.36,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2.14,6.0,0.0,1.82,6.0,1.34,0.09,2.0,0.08,0.0,0.24,2.0,0.28,0.03,0.49,1.51,0.49,0.01,1.99,0.01,1.71,0.0,1.71,0.18,0.27,0.06,0.0,-9.0,-4.32,3.33,9.0,9.0,0.0,0.08,1.0,0.92,0.01,0.04
0.87,6.0,0.0,2.44,6.0,1.81,0.11,0.71,0.28,0.0,0.28,0.71,0.25,0.05,0.13,0.59,0.13,0.01,0.7,0.01,0.35,0.0,0.35,0.1,0.08,0.22,0.0,-6.0,-1.93,2.04,6.0,6.0,0.01,0.15,1.0,0.85,0.01,0.04
1.24,21.0,1.0,5.3,20.0,4.52,0.21,4.0,0.3,0.0,0.78,4.0,0.84,0.02,0.14,3.86,0.14,0.06,3.94,0.06,3.31,0.0,3.31,0.59,0.79,0.02,11.0,0.0,8.53,3.46,11.0,12.0,0.01,0.24,2.0,0.84,0.05,0.14
1.56,6.0,0.0,1.86,6.0,1.22,0.11,1.0,1.0,0.0,0.23,1.0,0.18,0.05,0.23,0.78,0.23,0.02,0.98,0.02,1.0,0.0,1.0,0.13,0.13,0.07,0.0,-7.0,-1.32,2.43,7.0,7.0,0.0,0.08,2.0,0.94,0.01,0.03
2.35,8.0,1.0,2.26,7.0,1.54,0.09,1.2,0.4,0.0,0.27,1.2,0.22,0.07,0.5,0.7,0.5,0.01,1.19,0.01,0.53,0.0,0.53,0.1,0.09,0.13,0.0,-1.0,-0.38,0.48,1.0,1.0,0.0,0.01,1.0,0.99,0.0,0.0
2.37,5.0,0.0,1.21,5.0,1.28,0.05,4.0,0.51,0.0,0.25,4.0,0.47,0.3,0.28,3.72,0.28,0.0,4.0,0.0,4.0,0.0,4.0,0.3,0.59,0.3,10.0,-2.0,4.39,5.38,12.0,16.0,0.01,0.16,2.0,0.86,0.04,0.21
3.0,4.0,0.0,1.19,4.0,0.64,0.01,0.5,0.43,0.0,0.11,0.5,0.1,0.21,0.01,0.49,0.01,0.01,0.49,0.01,0.25,0.0,0.25,0.07,0.07,0.17,0.0,-6.0,-5.0,1.49,6.0,10.0,0.0,0.09,1.0,0.91,0.01,0.03
1.23,12.0,0.0,2.52,12.0,2.44,0.09,0.71,0.2,0.0,0.15,0.71,0.15,0.07,0.24,0.47,0.24,0.02,0.69,0.02,0.29,0.0,0.29,0.07,0.07,0.0,0.0,-2.0,-1.72,0.61,2.0,3.0,0.0,0.07,2.0,0.96,0.0,0.02
2.19,7.0,0.0,1.66,7.0,1.47,0.05,0.44,0.01,0.0,0.1,0.44,0.09,0.14,0.3,0.14,0.3,0.01,0.43,0.01,0.17,0.0,0.17,0.04,0.04,0.19,3.0,-2.0,-1.34,1.4,5.0,8.0,0.0,0.11,1.0,0.89,0.01,0.02
3.0,8.0,0.0,1.43,8.0,1.78,0.04,0.75,0.02,0.0,0.1,0.75,0.15,0.08,0.45,0.3,0.45,0.01,0.74,0.01,0.51,0.0,0.51,0.06,0.07,0.19,3.0,-1.0,2.44,1.26,4.0,5.0,0.0,0.04,1.0,0.96,0.0,0.02
2.26,2.0,0.0,0.98,2.0,0.28,0.05,1.0,0.11,0.0,0.21,1.0,0.19,0.08,0.16,0.84,0.16,0.02,0.98,0.02,1.0,0.0,1.0,0.16,0.18,0.03,0.0,-7.0,-5.67,2.3,7.0,8.0,0.0,0.06,1.0,0.94,0.01,0.06
2.06,4.0,1.0,1.87,3.0,0.91,0.06,0.67,0.68,0.0,0.22,0.67,0.14,0.04,0.26,0.41,0.26,0.01,0.66,0.01,0.39,0.0,0.39,0.12,0.09,0.12,3.0,0.0,2.49,1.03,3.0,3.0,0.0,0.04,2.0,0.97,0.01,0.04
3.0,7.0,1.0,2.09,6.0,1.46,0.06,1.75,0.25,0.0,0.26,1.75,0.32,0.07,0.21,1.54,0.21,0.0,1.75,0.0,1.37,0.0,1.37,0.17,0.28,0.1,10.0,0.0,8.73,1.67,10.0,10.0,0.0,0.09,2.0,0.93,0.01,0.05
2.59,20.0,0.0,1.55,20.0,3.83,0.08,3.2,0.08,0.0,0.24,3.2,0.57,0.45,1.82,1.38,1.82,0.0,3.2,0.0,2.0,0.0,2.0,0.17,0.36,0.44,2.0,0.0,1.05,0.44,2.0,2.0,0.0,0.02,1.0,0.98,0.0,0.02
1.52,16.0,0.0,3.85,16.0,4.09,0.12,0.67,0.24,0.0,0.19,0.67,0.19,0.11,0.33,0.33,0.33,0.0,0.66,0.0,0.24,0.0,0.24,0.05,0.06,0.09,0.0,-4.0,-1.32,1.45,4.0,8.0,0.01,0.17,1.0,0.83,0.01,0.02
1.78,7.0,1.0,3.15,6.0,1.62,0.12,1.17,0.16,0.0,0.37,1.16,0.24,0.11,0.39,0.78,0.38,0.01,1.16,0.01,0.5,0.0,0.5,0.11,0.1,0.12,8.0,0.0,4.5,2.68,8.0,8.0,0.0,0.12,1.0,0.88,0.02,0.04
