time,disMax,disMin,disAvg,disInter,disStd,speedAvg,vMax,vMaxPos,vMin,vAvg,vInter,vStd,vEqualPer,vPre5,vPre5DivVmax,vPre5DivVmin,vPost10,vPost10DivVmax,vPost10DivVmin,vdMax,vdMin,vdInter,vdAvg,vdStd,vdEqualPer,yMax,yMin,yAvg,yStd,yInter,yTotalDis,yv,yTotalDisAvg,yDisMax,yDisEqualPer,yvAvg,yvStd
1.22,8.0,1.0,2.64,7.0,1.88,0.15,1.75,0.75,0.01,0.32,1.74,0.29,0.17,0.19,1.56,0.19,0.02,1.73,0.01,1.25,0.0,1.25,0.15,0.2,0.11,22.0,0.0,10.66,8.24,22.0,22.0,0.02,0.33,2.0,0.72,0.04,0.06
0.65,5.0,1.0,2.2,4.0,0.98,0.1,1.0,0.17,0.0,0.36,1.0,0.3,0.0,0.11,0.89,0.11,0.24,0.76,0.24,0.85,0.02,0.82,0.38,0.29,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.0,53.0,0.0,6.76,53.0,9.08,0.18,3.4,0.09,0.0,0.55,3.4,0.68,0.04,0.43,2.97,0.43,0.01,3.39,0.01,2.89,0.0,2.89,0.41,0.56,0.03,22.0,-17.0,5.41,13.81,39.0,71.0,0.02,0.89,6.0,0.54,0.09,0.34
2.38,20.0,0.0,2.29,20.0,3.75,0.06,3.0,0.45,0.0,0.33,3.0,0.58,0.16,0.16,2.84,0.16,0.0,3.0,0.0,2.83,0.0,2.83,0.42,0.57,0.17,3.0,-8.0,0.02,3.57,11.0,21.0,0.01,0.33,2.0,0.71,0.11,0.31
2.78,14.0,0.0,2.33,14.0,2.84,0.07,1.1,0.04,0.0,0.15,1.1,0.2,0.12,0.65,0.45,0.65,0.01,1.09,0.01,0.66,0.0,0.66,0.07,0.09,0.2,12.0,-3.0,7.05,5.75,15.0,24.0,0.01,0.29,2.0,0.75,0.02,0.03
2.98,5.0,0.0,1.68,5.0,1.04,0.05,1.25,0.44,0.0,0.23,1.25,0.24,0.06,0.28,0.97,0.28,0.01,1.24,0.01,1.17,0.0,1.17,0.2,0.23,0.07,8.0,0.0,3.2,2.92,8.0,8.0,0.0,0.09,1.0,0.91,0.01,0.04
0.92,3.0,0.0,1.31,3.0,0.54,0.22,3.0,0.27,0.0,0.62,3.0,0.51,0.21,0.37,2.63,0.37,0.08,2.92,0.08,2.86,0.0,2.86,0.48,0.57,0.19,6.0,0.0,1.96,2.06,6.0,6.0,0.01,0.04,1.0,0.96,0.02,0.11
3.0,2.0,1.0,1.06,1.0,0.24,0.02,1.0,0.44,0.0,0.12,1.0,0.13,0.08,0.11,0.89,0.1,0.0,1.0,0.0,0.97,0.0,0.97,0.09,0.17,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.34,2.0,0.0,0.99,2.0,0.34,0.06,1.0,0.2,0.0,0.24,1.0,0.27,0.06,0.14,0.86,0.14,0.01,0.99,0.01,1.0,0.0,1.0,0.23,0.27,0.06,0.0,-7.0,-4.66,2.49,7.0,7.0,0.01,0.09,1.0,0.91,0.02,0.08
1.73,1.0,0.0,0.88,1.0,0.32,0.04,0.5,0.22,0.0,0.09,0.5,0.08,0.03,0.12,0.38,0.12,0.01,0.49,0.01,0.45,0.0,0.45,0.08,0.08,0.08,0.0,-14.0,-8.31,4.06,14.0,14.0,0.01,0.18,1.0,0.82,0.03,0.09
1.42,5.0,1.0,1.64,4.0,0.98,0.09,1.5,0.13,0.01,0.21,1.49,0.23,0.2,0.28,1.22,0.28,0.01,1.49,0.01,1.21,0.0,1.21,0.14,0.22,0.19,5.0,0.0,4.47,1.43,5.0,5.0,0.0,0.06,1.0,0.94,0.01,0.03
1.09,4.0,0.0,0.99,4.0,0.34,0.15,1.0,0.03,0.0,0.49,1.0,0.32,0.18,0.32,0.68,0.32,0.02,0.98,0.02,1.0,0.0,1.0,0.33,0.28,0.19,0.0,-6.0,-5.04,1.27,6.0,10.0,0.01,0.06,1.0,0.94,0.03,0.15
0.91,8.0,1.0,2.86,7.0,1.61,0.22,1.0,0.51,0.0,0.34,1.0,0.21,0.06,0.45,0.55,0.45,0.09,0.91,0.09,0.56,0.0,0.56,0.15,0.12,0.06,3.0,-3.0,-0.21,2.2,6.0,10.0,0.01,0.14,1.0,0.86,0.02,0.04
1.91,5.0,1.0,1.82,4.0,1.07,0.03,1.0,0.09,0.0,0.17,1.0,0.22,0.03,0.13,0.88,0.12,0.01,0.99,0.0,0.95,0.0,0.95,0.1,0.18,0.03,0.0,-5.0,-3.69,1.95,5.0,5.0,0.0,0.15,1.0,0.85,0.02,0.05
1.14,3.0,0.0,1.09,3.0,0.37,0.1,1.0,0.07,0.0,0.27,1.0,0.26,0.07,0.24,0.76,0.24,0.02,0.98,0.02,0.94,0.0,0.94,0.22,0.26,0.03,0.0,-2.0,-1.57,0.67,2.0,3.0,0.0,0.03,1.0,0.97,0.01,0.07
0.83,14.0,0.0,1.5,14.0,1.64,0.22,14.0,0.31,0.0,0.76,14.0,1.69,0.22,0.27,13.73,0.27,0.06,13.94,0.06,13.94,0.0,13.94,0.88,2.25,0.19,7.0,-1.0,1.42,2.41,8.0,9.0,0.01,0.07,1.0,0.93,0.03,0.11
1.06,7.0,0.0,1.86,7.0,1.38,0.1,1.0,0.55,0.0,0.2,1.0,0.2,0.21,0.26,0.74,0.26,0.1,0.9,0.1,0.5,0.0,0.5,0.08,0.09,0.18,12.0,-1.0,4.29,5.02,13.0,14.0,0.01,0.24,2.0,0.78,0.03,0.06
3.0,19.0,0.0,2.95,19.0,3.58,0.06,2.5,0.12,0.0,0.28,2.5,0.37,0.02,0.15,2.35,0.15,0.0,2.5,0.0,1.38,0.0,1.38,0.23,0.27,0.06,41.0,0.0,22.8,14.82,41.0,77.0,0.02,0.77,6.0,0.61,0.06,0.12
3.0,3.0,1.0,1.55,2.0,0.62,0.03,0.38,0.35,0.0,0.17,0.37,0.1,0.29,0.19,0.19,0.19,0.0,0.37,0.0,0.22,0.0,0.22,0.08,0.07,0.33,1.0,0.0,0.58,0.49,1.0,1.0,0.0,0.01,1.0,0.99,0.0,0.01
1.86,10.0,1.0,2.22,9.0,1.95,0.13,3.33,0.14,0.0,0.32,3.33,0.48,0.02,0.26,3.07,0.26,0.02,3.31,0.02,2.95,0.0,2.95,0.3,0.51,0.11,7.0,0.0,1.87,2.63,7.0,7.0,0.0,0.07,2.0,0.94,0.01,0.03
2.39,2.0,0.0,1.32,2.0,0.49,0.04,1.0,0.11,0.0,0.34,1.0,0.29,0.07,0.07,0.93,0.07,0.03,0.97,0.03,0.92,0.0,0.92,0.32,0.23,0.1,0.0,-17.0,-8.57,4.05,17.0,17.0,0.01,0.21,1.0,0.79,0.04,0.15
3.0,8.0,0.0,1.03,8.0,1.07,0.05,2.0,0.94,0.0,0.11,2.0,0.18,0.31,0.1,1.9,0.1,0.01,1.99,0.01,2.0,0.0,2.0,0.1,0.22,0.25,0.0,-13.0,-8.47,5.1,13.0,13.0,0.0,0.06,1.0,0.94,0.01,0.03
3.0,2.0,0.0,0.71,2.0,0.62,0.03,0.25,0.04,0.0,0.07,0.25,0.06,0.13,0.11,0.14,0.11,0.0,0.25,0.0,0.25,0.0,0.25,0.07,0.06,0.23,0.0,-6.0,-1.7,1.9,6.0,14.0,0.0,0.11,1.0,0.89,0.01,0.03
